table_name	column_name	description
cov	ena_run	ENA Run ID
cov	pos	Position on the SARS-CoV-2 reference sequence
cov	coverage	Coverage of sequencing at the given position
lineage	ena_run	ENA Run ID
lineage	variant_id	WHO variant ID
lineage	n	Number of mutation in the given sample that is present from given variant
lineage	required_mutation	Number of mutation in the given variant based on the 'variant_def' table
meta	ena_run	 ENA Run ID
meta	collection_date	Date of sample collection_date
meta	clean_country	Country where sample was collected. This is a cleaned version of the "country" column that contains that that was directly submitted
meta	clean_host	Host. This is a cleaned column.
meta	accession	Sample ID
meta	sample_accession	Sample ID
meta	experiment_accession	Experiment ID
meta	study_accession	Study ID
meta	description	Description
meta	country	Name of the country from where sample derived. This is how data was submitted. There is a "clean_country" column that is a cleaned version of this column
meta	first_created	Date when this record was created
meta	first_public	Date when this record become public
meta	host	Host. This is how data was submitted. There is a "clean_host" column that is a cleaned version of this column
meta	host_sex	Host sex
meta	host_tax_id	Host tax ID
meta	host_body_site	Host body site
meta	bio_material	Bio Material
meta	culture_collection	Culture collection
meta	instrument_model	Instrument model
meta	instrument_platform	Instrument Platform
meta	library_layout	Library Layout
meta	library_name	Library Name
meta	library_selection	Library Selection
meta	library_source	Library Source
meta	library_strategy	Library Strategy
meta	sequencing_method	Sequencing Method
meta	isolate	Isolate
meta	strain	Strain
meta	base_count	Base Count
meta	collected_by	Collected by
meta	broker_name	Broker name
meta	center_name	 center name
meta	sample_capture_status	Sample Capture Status
meta	checklist	Checklist
meta	clean_collection_date	Clean collection date
meta	date_isoweek	Collection date only week
meta	date_isoyear	Collection date only year
unique_ena_run_summary	table_name	Name of major tables ("meta", "vcf", "cov")
unique_ena_run_summary	count	Number of unique ENA Run ID's in the given table
vcf	ena_run	ENA Run ID
vcf	chrom	Chromosome (in this case this is the same everywhere)
vcf	pos	Position on the SARS-CoV-2 reference sequence
vcf	ref	Reference allel
vcf	alt	Alternate allel
vcf	qual	Quality
vcf	filter	Filter
vcf	dp	Raw Depth
vcf	af	Allele Frequency
vcf	sb	Phred-scaled strand bias at this position
vcf	count_ref_forward_base	Counts for ref-forward bases
vcf	count_ref_reverse_base	Counts for ref-reverse
vcf	count_alt_forward_base	Counts for alt-forward
vcf	count_alt_reverse_base	Counts for alt-reverse bases
