id	broker_name	collected_by	center_name
1		not provided	AALBORG UNIVERSITY
2		Instituto Nacional Enfermedades Infecciosas C.G.Malbran	ANLIS Malbran
3		not collected	ASST Grande Ospedale Metropolitano Niguarda
4	COVID-19 Genomics UK Consortium	not provided	Barts Health NHS Trust
5		not provided	Brazil-UK Centre for Arbovirus Discovery, Diagnosis, Genomics and Epidemiology (CADDE)
6		Francesco Salvatore	CEINGE - BIOTECNOLOGIE AVANZATE
7		not provided	CEMM RESEARCH CENTER FOR MOLECULAR MEDICINE OF THE AUSTRIAN ACADEMY OF SCIENCES
8		Not Provided	CEMM RESEARCH CENTER FOR MOLECULAR MEDICINE OF THE AUSTRIAN ACADEMY OF SCIENCES
9		Christiane Scherer	CENTER FOR BIOTECHNOLOGY, BIELEFELD UNIVERSITY
10		not provided	CENTER FOR BIOTECHNOLOGY, BIELEFELD UNIVERSITY
11		Katarzyna Lasinska	COVID-HUB-PL
12		Luiza Handschuh	COVID-HUB-PL
13		Agnieszka Rzeszotarska	COVID-HUB-PL
14		Marcelina Jaworska	COVID-HUB-PL
15		Marcelina Jawroska	COVID-HUB-PL
16		prof. UM dr hab. med. Aleksander Jamsheer	COVID-HUB-PL
17		prof. dr hab. Magdalena Figlerowicz	COVID-HUB-PL
18		Emilia Morawiec	COVID-HUB-PL
19		dr Luiza Handschuh	COVID-HUB-PL
20		dr Marzena Ciechomska	COVID-HUB-PL
21		dr Łukasz Madej	COVID-HUB-PL
22	COVID-19 Genomics UK Consortium	not provided	Centre for Clinical Infection and Diagnostics Research and Genomics Innovation Unit, Guy's and St. Thomas' NHS Trust
23	COVID-19 Genomics UK Consortium	not provided	Centre for Enzyme Innovation, University of Portsmouth / Translational Research Laboratory, Portsmouth Hospitals NHS Trust
24	COVID-19 Genomics UK Consortium	not provided	Centre for Enzyme Innovation, University of Portsmouth / Translational Research Laboratory, Portsmouth Hospitals NHS Trust / Hampshire Hospitals NHS Foundation Trust / Bournemouth University / University Hospitals Dorset NHS Foundation Trust / Brighton and Sussex University Hospitals NHS Trust / Dartford and Gravesham NHS Trust / Isle of Wight NHS Trust / Maidstone and Tunbridge Wells NHS Trust / University Hospital Southampton NHS Foundation Trust
25		not provided	Clinical Bioinformatics Area
26		not provided	Comenius University, Faculty of Mathematics, Physics and Informatics
27	COVID-19 Genomics UK Consortium		DeepSeq Nottingham
28	COVID-19 Genomics UK Consortium	not provided	Department of Pathology, University of Cambridge
29	ERASMUS MC, UNIVERISTY MEDICAL CENTER	Dutch COVID-19 response team	Dutch COVID-19 response team
30		Dutch COVID-19 response team	ERASMUS MC, UNIVERISTY MEDICAL CENTER
31		Christoph Schürmann/ Michael Mühlebach	European Molecular Biology Laboratory
32		Ana Livun	FACULTY OF SCIENCE, UNIVERSITY OF ZAGREB
33		Ivana Ćelap	FACULTY OF SCIENCE, UNIVERSITY OF ZAGREB
34			FUJITA
35		not provided	Fundacao Oswaldo Cruz - IAM
36			GEO
37		Yvan Butera	GIGA-R, University of Liege
38		Enatha Mukantwari	GIGA-R, University of Liege
39		not provided	Hannover Medical School
40		not provided	Heinrich Pette Institute, Leibniz Instistute for Experimental Virology
41		Johannes Knobloch	Heinrich-Pette-Institute, Leibniz-Institute for experimental Virology
42		not provided	Helixworks Technologies
43	ELIXIR Belgium	Isabelle Salmon	Hopital Erasme Universite Libre de Bruxelles
44			Hospital General Universitario Gregorio Maranon
45		Carla López-Causapé, Jordi Reina, Antonio Oliver and SeqCOVID-Spain consortium	IBV-CSIC
46		Sara Sanbonmatsu Gámez, Irene Pedrosa Corral, José M. Navarro-Marí and SeqCOVID-Spain consortium	IBV-CSIC
47		Darío García de Viedma, Laura Pérez-Lago, Pedro J Sola-Campoy, Sergio Buenestado-Serrano, Marta Herranz, Victor Manuel de la Cueva, Julia Suárez, Pilar Catalán, Patricia Muñoz and SeqCOVID-Spain consortium	IBV-CSIC
48		Andrea Vergara, Mikel Martínez, Elisa Rubio, Jéssica Navero, Aida Peiró and SeqCOVID-Spain consortium	IBV-CSIC
49		Elisa Martró, Antoni E. Bordoy, Anna Not, Adrián Antuori, Anabel Fernández, Nona Romaní, Verónica Saludes, Cristina Casañ and SeqCOVID-Spain consortium	IBV-CSIC
50		Carmen Ezpeleta Baquedano, Ana Navascués, Ana Miqueleiz and SeqCOVID-Spain consortium	IBV-CSIC
51		Mónica Gozalo Margüello, María Eliecer Cano García, Jose Manuel Méndez Legaza, Daniel Pablo Marcos, Jesús Rodríguez Rodríguez, María Siller Ruiz and SeqCOVID-Spain consortium	IBV-CSIC
52		Inmaculada de Toro Peinado, Mª Concepción Mediavilla Gradolph, Begoña Palop Borrás, Mercedes Pérez Ruiz and SeqCOVID-Spain consortium	IBV-CSIC
53		Alejandro González Praetorius y Mariela Martínez Ramírez and SeqCOVID-Spain consortium	IBV-CSIC
54		Rafael Benito, Sonia Algarate, Jessica Bueno and SeqCOVID-Spain consortium	IBV-CSIC
55		Antonio Rezusta López, Alexander Tristancho Baró, Ana Milagro, Yolanda Gracia Grataloup, Nieves Martínez Cameo and SeqCOVID-Spain consortium	IBV-CSIC
56		Cristián Castelló Abietar, Jose A. Boga, Susana Rojo-Alba, Marta Elena Álvarez-Argüelles, Santiago Melón and SeqCOVID-Spain consortium	IBV-CSIC
57		Albert Bernet Sánchez, Alba Bellés Bellés, Eric López González, Iván Prats Sánchez, Mercè García González and SeqCOVID-Spain consortium	IBV-CSIC
58		Jose Mª González-Alba, L. Olavarrieta, Val Fernández, Juan C Galán and SeqCOVID-Spain consortium	IBV-CSIC
59		María de Toro, José Manuel Azcona Gutiérrez, María Pilar Bea Escudero, Miriam Blasco Alberdi and SeqCOVID-Spain consortium	IBV-CSIC
60		Soledad Illescas Fernández-Bermejo, José Martínez-Alarcón, Marta Torres-Narbona, Cristina Colmenarejo, Lidia García-Agudo, Jorge Alfredo Pérez García and SeqCOVID-Spain consortium	IBV-CSIC
61		Ferran Navarro, Núria Rabella, Elisenda Miró and SeqCOVID-Spain consortium	IBV-CSIC
62		Alberto Delgado-Iribarren, Esther Culebras López, Vicente Estrada Pérez, Jorge Matias-Guiu, Luis Ortega Medina, Silvia Sánchez Ramón, Ulises Gómez-Pinedo and SeqCOVID-Spain consortium	IBV-CSIC
63		Cristina Muñoz Cuevas, Guadalupe Rodríguez Rodríguez and SeqCOVID-Spain consortium	IBV-CSIC
64		María Dolores Ocete, Begoña Fuster Escrivá, Carme Salvador García, Rafael Medina González, Concepción Gimeno Cardona and SeqCOVID-Spain consortium	IBV-CSIC
65		M. Carmen Pérez González, Francisco J. Chamizo López, Ana Bordes Benítez and SeqCOVID-Spain consortium	IBV-CSIC
66		Gustavo Cilla Eguiluz, Milagrosa Montes Ros, Luis Piñeiro Vázquez, Ane Sorrarain, Jose Maria Marimón and SeqCOVID-Spain consortium	IBV-CSIC
67		Ana Carvajal, Vicente Martín, Héctor Argüello, Juan M. Fregeneda, Tania Fernández-Villa, Antonio J. Molina and SeqCOVID-Spain consortium	IBV-CSIC
68		Mª Isabel Gascón Ros, Cristina Torregrosa Hetland, Eva Pastor Boix, Paloma Cascales Ramos, Pedro Garcinuño Enríquez, Salvador Raga Borja and SeqCOVID-Spain consortium	IBV-CSIC
69		Antonio Galiana Cabrera, Judith Sánchez-Almendro, Montserrat Ruiz García, Nieves Gonzalo Jiménez and SeqCOVID-Spain consortium	IBV-CSIC
70		Rosario Moreno Muñoz, María Dolores Tirado Balaguer and SeqCOVID-Spain consortium	IBV-CSIC
71		Olalla Martínez Macias, Julia González Cantó and SeqCOVID-Spain consortium	IBV-CSIC
72		Raúl Santamaría Merino, Beatriz Fernández Forner and SeqCOVID-Spain consortium	IBV-CSIC
73		Amparo Broseta Tamarit, Carlos Gulin Blanco and SeqCOVID-Spain consortium	IBV-CSIC
74		David Navarro Ortega, Eliseo Albert Vicent, Ignacio Torres and SeqCOVID-Spain consortium	IBV-CSIC
75		Oriol Mitjà i Villar MD PhD, Barbara Baro Sastre BsC MsC PhD, Pau Rodó de Yebra BsC MsC, Marc Corbacho Monné MD, Andrea Alemany Ortiz MD, María Ubals Cazorla MD, Camila González Beiras BsC MsC PhD, Martí Vall Mayans MD PhD and SeqCOVID-Spain consortium	IBV-CSIC
76		Juan Alberola Enguídanos, Juan José Camarena Miñana, Rosa González Pellicer, José Miguel Nogueira Coito and SeqCOVID-Spain consortium	IBV-CSIC
77		Dra. Victoria Simón García, Gonzalo Llop Furquet, Agustín Irazo Tatay, Sandra Moreno Marro, Noelia Lozano Rodríguez and SeqCOVID-Spain consortium	IBV-CSIC
78		Victoria Domínguez, Rocío Falcón, Amparo Farga and SeqCOVID-Spain consortium	IBV-CSIC
79		Juan B. Bellido Blasco, Alberto Yagüe Muñoz, Noelia Henández Pérez, Helena Buj Jordá, Óscar Pérez Olaso, Maria Gil Fortuño and SeqCOVID-Spain consortium	IBV-CSIC
80		Nieves Orta Mira, Mª Rosa Navarro Cots, Inmaculada Vidal Catalá, Isabel García Nava and SeqCOVID-Spain consortium	IBV-CSIC
81		Mónica Parra Grande, Francisco José Arjona Zaragozí, Bárbara Gomez Alonso, Carmen Martínez Peinado and SeqCOVID-Spain consortium	IBV-CSIC
82		María Dolores Gómez Ruiz, Eva González Barberá, Ana Gil Brusola, Salvador Giner Almaraz, José Luis López Hontangas and SeqCOVID-Spain consortium	IBV-CSIC
83		Iván Sanz Muñoz, Diana Perez San José and SeqCOVID-Spain consortium	IBV-CSIC
84		Federico García, Adolfo de Salazar, Laura Viñuela, Natalia Chueca and SeqCOVID-Spain consortium	IBV-CSIC
85		Maripaz Ventero Martín, Carmen Molina Pardines and SeqCOVID-Spain consortium	IBV-CSIC
86		Aida Esperanza Ramírez Marinero, Eduardo Padilla León, Alba Vilas Basil, Mireia Canal Aranda and SeqCOVID-Spain consortium	IBV-CSIC
87		Antonio Orduña-Domingo, Marta Hernández, Silvia Rojo, Marta Domínguez-Gil, Carmen Aldea-Mansilla, Juan Luis Muñoz-Bellido, Mª Fe Brezmes-Valdivieso, M. Isabel Fernández-Natal, Jose María Eiros and SeqCOVID-Spain consortium	IBV-CSIC
88		Antonio Moreno Docón, Manuel Segovia Hernández, Genoveva Yagüe and SeqCOVID-Spain consortium	IBV-CSIC
89		María Alma Bracho and SeqCOVID-SPAIN consortium	IBV-CSIC
90		María Alma Bracho and SeqCOVID-Spain consortium	IBV-CSIC
91		Martín Yago López, María Ángeles Goberna Bravo, Carolina Pla Cortes and SeqCOVID-Spain consortium	IBV-CSIC
92		Alfredo Mayor, Inacio Mandomando, Arsenia Massinga, Iñaki Comas, Manoli Torres Puente, Santiago Jiménez-Serrano, Irving Cancino	IBV-CSIC
93		Begoña Aguado, Antonio Alcamí, Marta Bermejo, Juncal Sánchez and SeqCOVID-Spain consortium	IBV-CSIC
94		Silvia Hernáez Crespo, Carmen Gómez González, Amaia Aguirre Quiñonero, Marina Fernández Torres, Mª Rosario Almela Ferrer, Mª Concepción Lecaroz Agara, José Israel López Mirones, Mª Luz Cordón Rodríguez, Andrés Canut Blasco and SeqCOVID-Spain consortium	IBV-CSIC
95		José Antonio Lepe Jiménez, Guillermo Martín Gutiérrez, Ángel Rodríguez Villodres, Lidia Gálvez Benitez, Verónica González Galán, Javier Aznar Martín and SeqCOVID-Spain consortium	IBV-CSIC
96		Mirian Fernández-Alonso, Jose Luis del Pozo and SeqCOVID-Spain consortium	IBV-CSIC
97		Salud Rodríguez-Pallares, Fátima-Galán-Sánchez, Manuel Rodríguez-Iglesias and SeqCOVID-Spain consortium	IBV-CSIC
98		Encarnación Simarro Córdoba, Julia Lozano Serra, Lorena Robles Fonseca, Caridad Sainz de Baranda Camino and SeqCOVID-Spain consortium	IBV-CSIC
99		Anna M. Planas, Mª Angeles Marcos, Miguel J. Martínez, Andrea Vergara, Alex Soriano, Jordi Pérez Tur, Israel Fernández Cadenas and SeqCOVID-Spain consortium	IBV-CSIC
100		José Javier Costa Alcalde, Antonio Aguilera Guirao, Mª Luisa Pérez del Molino Bernal, Amparo Coira Nieto, Gema Barbeito Castiñeiras, Rocio Trastoy Pena and SeqCOVID-Spain consortium	IBV-CSIC
101		Alfredo Mayor, Alberto L Garcia-Basteiro, Carlota Dobaño, Gemma Moncunill, Pau Cisteró and SeqCOVID-Spain consortium	IBV-CSIC
102		Maykel Arias, Rafael Benito, José Ramón Paño Pardo, Julián Pardo, Iratxe Uranga and SeqCOVID-Spain consortium	IBV-CSIC
103		Benito Regueiro and SeqCOVID-Spain consortium	IBV-CSIC
104		Manuel Guerreiro, Marta Montero-Alonso, María Dolores Gómez and SeqCOVID-Spain consortium	IBV-CSIC
105		Maitane Aranzamendi Zaldumbide, Óscar Martínez Expósito, Mikel Gallego Rodrigo, Maialen Larrea Ayo, Nerea Antona Urieta and SeqCOVID-Spain consortium	IBV-CSIC
106		Mercedes Roig Cardells and SeqCOVID-Spain consortium	IBV-CSIC
107		Fernando Lázaro-Perona, María Rodríguez-Tejedor, Elias Dahdouh, Jesús Mingorance and SeqCOVID-SPAIN consortium	IBV-CSIC
108		María Rodríguez-Tejedor, Elias Dahdouh, Fernando Lázaro-Perona, Jesús Mingorance and SeqCOVID-SPAIN consortium	IBV-CSIC
109		Maria Alma Bracho and SeqCOVID-Spain consortium	IBV-CSIC
110		Esther Viedma, Raúl Recio, Irene Múñoz-Gallego, Jennifer Villa, Rafael Delgado, Mª Dolores Folgueira and SeqCOVID-Spain consortium	IBV-CSIC
111			IMPERIAL COLLEGE LONDON
112		Simona Paraschiv	INBI
113		not provided	INSTITUTE OF APPLIED BIOSCIENCES - CERTH
114			Institut Pasteur
115		Marcus Panning	Institute for Virology Freiburg
116			Institute of Biomedicine and Translational Medicine, University of Tartu
197		Montgomery County Co	SUB10035562
117	ELIXIR Belgium		Institute of Tropical Medicine Belgium
118	Irish Consortium for Sequencing Covid	not provided	Irish Consortium for Sequencing Covid
119			KAROLINSKA INSITUTET
120	COVID-19 Genomics UK Consortium	not provided	Kettering General Hospital
121			King Abdullah University of Science and Technology
122	Science Park of Comenius University of Bratislava	not provided	Laboratory of Genomics and Bioinformatics, Comenius University Science Park
123		E. Gulbja laboratorija, Ltd	Latvian Biomedical Research and Study Centre
124		Riga East University Hospital, Latvian Centre of Infectious Diseases	Latvian Biomedical Research and Study Centre
125		Centrala laboratorija, Ltd	Latvian Biomedical Research and Study Centre
126	COVID-19 Genomics UK Consortium	not provided	Leeds
127	COVID-19 Genomics UK Consortium	not provided	Lighthouse Lab in Glasgow / MRC-University of Glasgow Centre for Virus Research
128	COVID-19 Genomics UK Consortium	not provided	Lincolnshire Hospitals and DeepSeq Nottingham
129	COVID-19 Genomics UK Consortium		Liverpool Clinical Laboratories
130	COVID-19 Genomics UK Consortium	not provided	Liverpool Clinical Laboratories
131		not collected	Modernising Medical Microbiology
132			NATIONAL INSTITUTE OF HEALTH DR. RICARDO JORGE
133		not provided	NATIONAL INSTITUTE OF HEALTH DR. RICARDO JORGE
134			NIID
135	Irish Consortium for Sequencing Covid	not provided	NVRL
136	COVID-19 Genomics UK Consortium	not provided	Northumbria University / South Tees Hospitals NHS Foundation Trust / North Cumbria Integrated Care NHS Foundation Trust / North Tees and Hartlepool NHS Foundation Trust / Newcastle Hospitals NHS Foundation Trust
137	ELIXIR-Norway	Kathrine Stene-Johansen, Kamilla Heddeland Instefjord, Hilde Elshaug, Garcia Llorente Ignacio, Jon Bråte, Engebretsen Serina Beate,Pedersen Benedikte Nevjen, Debech Nadia, Atiya R Ali,Marie Paulsen Madsen, Rasmus Riis Kopperud, Hilde Vollan, Karoline Bragstad, Olav Hungnes	Norwegian Institute of Public Health (NIPH)
138		Ekawat Pasomsub	OXFORD UNIVERSITY
139	COVID-19 Genomics UK Consortium		Originating lab: Wales Specialist Virology Centre Sequencing lab: Pathogen Genomics Unit
140	COVID-19 Genomics UK Consortium	not provided	Originating lab: Wales Specialist Virology Centre Sequencing lab: Pathogen Genomics Unit
141	COVID-19 Genomics UK Consortium	not provided	Oxford Viromics, NDM, University of Oxford; Oxford University Hospitals; Basingstoke and North Hampshire Hospital
142		not provided	Pro-Vitam Research and Diagnostics Laboratory
143	Science Park of Comenius University of Bratislava	not provided	Public Health Authority of the Slovak Republic
144	Science Park of Comenius University of Bratislava	Cinzia ZEHNDER, Etleva LLESHI	Public Health Authority of the Slovak Republic
145	COVID-19 Genomics UK Consortium		Public Health England (Colindale)
146	COVID-19 Genomics UK Consortium	not provided	Public Health England (Colindale)
147	COVID-19 Genomics UK Consortium		Quadram Institute Bioscience
148	COVID-19 Genomics UK Consortium	not provided	Quadram Institute Bioscience
149	Quadram Institute Bioscience	Justin O&apos;Grady	Quadram Institute Bioscience
150	Quadram Institute Bioscience	Tapfumanei Mashe	Quadram Institute Bioscience
151	Quadram Institute Bioscience	Muhammad Bilal Sarwar	Quadram Institute Bioscience
152	Quadram Institute Bioscience	Sima Tokajian	Quadram Institute Bioscience
153	Quadram Institute Bioscience	Shah Jahan	Quadram Institute Bioscience
154	COVID-19 Genomics UK Consortium	not provided	Queens Medical Centre, Clinical Microbiology Department / DeepSeq Nottingham
155		not available	ROBERT KOCH INSTITUT
156	COVID-19 Genomics UK Consortium	not provided	Regional Virus Laboratory, Belfast Health and Social Care Trust
157	COVID-19 Genomics UK Consortium	not provided	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England
158		Valeria Ghisetti	SCILIFELAB STOCKHOLM
159		Silvia Brossa	SCILIFELAB STOCKHOLM
160		Sheffield COVID-19 Genomics Group	SHEFFIELD MEDICAL SCHOOL. UNIVERSITY
161		Health Protection Scotland (Glasgow)	SHEFFIELD MEDICAL SCHOOL. UNIVERSITY
162		Beijing Institute of Microbiology and Epidemiology	SUB10001367
163		Yun F Wang	SUB10001782
164		Molecular Pathology Laboratory, Univ. of Illinois at Chicago	SUB10015853
165		New Mexico Department of Health Scientific Laboratory	SUB10015863
166		South Dakota Public Health Laboratory	SUB10016402
167		Utah Public Health Laboratory	SUB10016840
168		CDPHE	SUB10021277
169		Texas Department of State Health Services	SUB10027869
170		CDPHE	SUB10030932
171		CEITEC	SUB10033107
172		ICDDR,B, IEDCR, IdeSHI	SUB10035181
173		CEITEC	SUB10035478
174		Bucks County Coroner	SUB10035562
175		AMI Centre Co CBTS	SUB10035562
176		North Penn Comprehensive Health Svcs	SUB10035562
177		Mt. St. Benedict Monastery	SUB10035562
178		Martin Luther King Center	SUB10035562
179		Health Network Laboratories	SUB10035562
180		AMI Wilkes-Barre Airport	SUB10035562
181		Phoebe Allentown Health Care Center	SUB10035562
182		Booker T Washington Center	SUB10035562
183		You First Personal Care	SUB10035562
184		Chester County Coron	SUB10035562
