,gene_id,gene_name
0,GU280_gp06-GU280_gp07,ORF6-ORF7a
1,GU280_gp10,N
2,GU280_gp04,E
3,GU280_gp05,M
4,GU280_gp06&GU280_gp07,ORF6&ORF7a
5,GU280_gp01-GU280_gp02,ORF1ab-S
6,GU280_gp10-GU280_gp11,N-ORF10
7,GU280_gp08,ORF7b
8,GU280_gp07,ORF7a
9,GU280_gp11,ORF10
10,GU280_gp01&GU280_gp02,ORF1ab&S
11,GU280_gp09,ORF8
12,GU280_gp02-GU280_gp03,S-ORF3a
13,GU280_gp06,ORF6
14,GU280_gp08&GU280_gp09,ORF7b&ORF8
15,GU280_gp03&GU280_gp02,ORF3a&S
16,GU280_gp05&GU280_gp06,M&ORF6
17,GU280_gp03,ORF3a
18,GU280_gp01,ORF1ab
19,CHR_START-GU280_gp01,CHR_START-ORF1ab
20,GU280_gp05-GU280_gp06,M-ORF6
21,GU280_gp04-GU280_gp05,E-M
22,GU280_gp11-CHR_END,ORF10-CHR_END
23,GU280_gp09-GU280_gp10,ORF8-N
24,GU280_gp08-GU280_gp09,ORF7b-ORF8
25,GU280_gp02,S
26,GU280_gp07&GU280_gp08,ORF7a&ORF7b
27,GU280_gp03-GU280_gp04,ORF3a-E
28,GU280_gp05&GU280_gp07,M&ORF7a
29,GU280_gp04&GU280_gp03,E&ORF3a
30,GU280_gp10&GU280_gp09,N&ORF8
31,GU280_gp06&GU280_gp08,ORF6&ORF7b
32,GU280_gp10&GU280_gp11,N&ORF10
33,GU280_gp04&GU280_gp05,E&M
